Date,Model,Region,Units_Sold,Unit_Price,Revenue
2025-01-01,iPhone 11,North,347,450,156150
2025-01-01,iPhone 11,South,77,450,34650
2025-01-01,iPhone 11,East,32,450,14400
2025-01-01,iPhone 11,West,399,450,179550
2025-01-01,iPhone 12,North,160,550,88000
2025-01-01,iPhone 12,South,145,550,79750
2025-01-01,iPhone 12,East,134,550,73700
2025-01-01,iPhone 12,West,91,550,50050
2025-01-01,iPhone 13,North,397,650,258050
2025-01-01,iPhone 13,South,72,650,46800
2025-01-01,iPhone 13,East,366,650,237900
2025-01-01,iPhone 13,West,399,650,259350
2025-01-01,iPhone 14,North,299,750,224250
2025-01-01,iPhone 14,South,64,750,48000
2025-01-01,iPhone 14,East,322,750,241500
2025-01-01,iPhone 14,West,236,750,177000
2025-01-01,iPhone 15,North,36,850,30600
2025-01-01,iPhone 15,South,35,850,29750
2025-01-01,iPhone 15,East,67,850,56950
2025-01-01,iPhone 15,West,131,850,111350
2025-01-01,iPhone 15 Pro,North,139,1050,145950
2025-01-01,iPhone 15 Pro,South,278,1050,291900
2025-01-01,iPhone 15 Pro,East,328,1050,344400
2025-01-01,iPhone 15 Pro,West,33,1050,34650
2025-01-01,iPhone 16,North,307,950,291650
2025-01-01,iPhone 16,South,121,950,114950
2025-01-01,iPhone 16,East,386,950,366700
2025-01-01,iPhone 16,West,352,950,334400
2025-01-01,iPhone 16 Pro,North,379,1200,454800
2025-01-01,iPhone 16 Pro,South,299,1200,358800
2025-01-01,iPhone 16 Pro,East,234,1200,280800
2025-01-01,iPhone 16 Pro,West,132,1200,158400
2025-02-01,iPhone 11,North,249,450,112050
2025-02-01,iPhone 11,South,321,450,144450
2025-02-01,iPhone 11,East,162,450,72900
2025-02-01,iPhone 11,West,434,450,195300
2025-02-01,iPhone 12,North,23,550,12650
2025-02-01,iPhone 12,South,408,550,224400
2025-02-01,iPhone 12,East,432,550,237600
2025-02-01,iPhone 12,West,101,550,55550
2025-02-01,iPhone 13,North,377,650,245050
2025-02-01,iPhone 13,South,236,650,153400
2025-02-01,iPhone 13,East,194,650,126100
2025-02-01,iPhone 13,West,162,650,105300
2025-02-01,iPhone 14,North,99,750,74250
2025-02-01,iPhone 14,South,130,750,97500
2025-02-01,iPhone 14,East,410,750,307500
2025-02-01,iPhone 14,West,192,750,144000
2025-02-01,iPhone 15,North,72,850,61200
2025-02-01,iPhone 15,South,67,850,56950
2025-02-01,iPhone 15,East,214,850,181900
2025-02-01,iPhone 15,West,69,850,58650
2025-02-01,iPhone 15 Pro,North,203,1050,213150
2025-02-01,iPhone 15 Pro,South,196,1050,205800
2025-02-01,iPhone 15 Pro,East,329,1050,345450
2025-02-01,iPhone 15 Pro,West,155,1050,162750
2025-02-01,iPhone 16,North,433,950,411350
2025-02-01,iPhone 16,South,42,950,39900
2025-02-01,iPhone 16,East,393,950,373350
2025-02-01,iPhone 16,West,255,950,242250
2025-02-01,iPhone 16 Pro,North,294,1200,352800
2025-02-01,iPhone 16 Pro,South,83,1200,99600
2025-02-01,iPhone 16 Pro,East,213,1200,255600
2025-02-01,iPhone 16 Pro,West,60,1200,72000
2025-03-01,iPhone 11,North,302,450,135900
2025-03-01,iPhone 11,South,170,450,76500
2025-03-01,iPhone 11,East,444,450,199800
2025-03-01,iPhone 11,West,341,450,153450
2025-03-01,iPhone 12,North,336,550,184800
2025-03-01,iPhone 12,South,205,550,112750
2025-03-01,iPhone 12,East,315,550,173250
2025-03-01,iPhone 12,West,118,550,64900
2025-03-01,iPhone 13,North,380,650,247000
2025-03-01,iPhone 13,South,55,650,35750
2025-03-01,iPhone 13,East,43,650,27950
2025-03-01,iPhone 13,West,358,650,232700
2025-03-01,iPhone 14,North,136,750,102000
2025-03-01,iPhone 14,South,415,750,311250
2025-03-01,iPhone 14,East,168,750,126000
2025-03-01,iPhone 14,West,60,750,45000
2025-03-01,iPhone 15,North,139,850,118150
2025-03-01,iPhone 15,South,71,850,60350
2025-03-01,iPhone 15,East,214,850,181900
2025-03-01,iPhone 15,West,162,850,137700
2025-03-01,iPhone 15 Pro,North,252,1050,264600
2025-03-01,iPhone 15 Pro,South,345,1050,362250
2025-03-01,iPhone 15 Pro,East,447,1050,469350
2025-03-01,iPhone 15 Pro,West,206,1050,216300
2025-03-01,iPhone 16,North,103,950,97850
2025-03-01,iPhone 16,South,209,950,198550
2025-03-01,iPhone 16,East,201,950,190950
2025-03-01,iPhone 16,West,127,950,120650
2025-03-01,iPhone 16 Pro,North,363,1200,435600
2025-03-01,iPhone 16 Pro,South,156,1200,187200
2025-03-01,iPhone 16 Pro,East,379,1200,454800
2025-03-01,iPhone 16 Pro,West,369,1200,442800
2025-04-01,iPhone 11,North,351,450,157950
2025-04-01,iPhone 11,South,56,450,25200
2025-04-01,iPhone 11,East,331,450,148950
2025-04-01,iPhone 11,West,345,450,155250
2025-04-01,iPhone 12,North,107,550,58850
2025-04-01,iPhone 12,South,293,550,161150
2025-04-01,iPhone 12,East,393,550,216150
2025-04-01,iPhone 12,West,145,550,79750
2025-04-01,iPhone 13,North,103,650,66950
2025-04-01,iPhone 13,South,256,650,166400
2025-04-01,iPhone 13,East,214,650,139100
2025-04-01,iPhone 13,West,158,650,102700
2025-04-01,iPhone 14,North,347,750,260250
2025-04-01,iPhone 14,South,372,750,279000
2025-04-01,iPhone 14,East,305,750,228750
2025-04-01,iPhone 14,West,132,750,99000
2025-04-01,iPhone 15,North,370,850,314500
2025-04-01,iPhone 15,South,186,850,158100
2025-04-01,iPhone 15,East,413,850,351050
2025-04-01,iPhone 15,West,417,850,354450
2025-04-01,iPhone 15 Pro,North,48,1050,50400
2025-04-01,iPhone 15 Pro,South,137,1050,143850
2025-04-01,iPhone 15 Pro,East,440,1050,462000
2025-04-01,iPhone 15 Pro,West,36,1050,37800
2025-04-01,iPhone 16,North,432,950,410400
2025-04-01,iPhone 16,South,181,950,171950
2025-04-01,iPhone 16,East,225,950,213750
2025-04-01,iPhone 16,West,157,950,149150
2025-04-01,iPhone 16 Pro,North,53,1200,63600
2025-04-01,iPhone 16 Pro,South,128,1200,153600
2025-04-01,iPhone 16 Pro,East,310,1200,372000
